iter	Passed	Remaining
0	45	1309
1	91	1280
2	139	1256
3	182	1187
4	226	1134
5	269	1079
6	313	1030
7	357	983
8	407	951
9	451	902
10	494	854
11	538	807
12	581	760
13	630	720
14	675	675
15	717	627
16	762	583
17	811	541
18	856	495
19	898	449
20	944	404
21	986	358
22	1029	313
23	1071	267
24	1115	223
25	1157	178
26	1204	133
27	1250	89
28	1301	44
29	1345	0
