iter	Logloss
0	0.6227091338
1	0.5639309576
2	0.5147223601
3	0.4709876889
4	0.4350865899
5	0.4027953568
6	0.3762305421
7	0.352952027
8	0.3313400452
9	0.3120818992
10	0.294501693
11	0.2793191011
12	0.2656116456
13	0.253234403
14	0.2419794668
15	0.2313129963
16	0.2209261735
17	0.2129079717
18	0.2047730926
19	0.1959093271
20	0.1903659174
21	0.1835106188
22	0.1781183562
23	0.1718851725
24	0.1663731976
25	0.1620311266
26	0.1574753458
27	0.1533924374
28	0.1493598713
29	0.145343758
